;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value
9;B_Sp_young - E_Sp_old;4;-0.71;0.758;-0.34;0.804;0.59;0.715;-0.64;0.728;-0.35;0.988;-0.46;0.964;0.13;0.984;-0.39;0.966;-2.03;0.098;-1.43;0.002;-1.33;0.818;-2.06;0.103;-1.73;0.281;-1.94;0.12;-1.09;0.063;-1.68;0.029
10;C_Sp_int1 - D_Sp_int2;4;-0.07;1;0.39;0.764;-0.26;0.98;0.16;0.992;-0.92;0.768;-1.08;0.71;-0.55;0.531;-0.51;0.924;-1.09;0.62;-0.09;0.997;-0.46;0.992;0.06;1;-0.77;0.825;-0.6;0.918;-0.32;0.904;-0.4;0.914
11;C_Sp_int1 - E_Sp_old;4;0.18;0.994;1.03;0.055;-0.11;0.998;-0.02;1;-0.06;1;-2.65;0.04;-1.32;0.007;0.04;1;-1.71;0.225;-0.49;0.681;-1.15;0.897;-1.17;0.507;-0.82;0.827;-2.6;0.026;-1.56;0.005;-0.88;0.466
12;D_Sp_int2 - E_Sp_old;4;0.24;0.985;0.64;0.297;0.15;0.994;-0.19;0.988;0.86;0.833;-1.58;0.351;-0.77;0.143;0.55;0.906;-0.62;0.891;-0.4;0.748;-0.69;0.966;-1.23;0.515;-0.06;1;-2;0.102;-1.24;0.026;-0.48;0.855
;contrast;age_class;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;02. Apr;B_Sp_young;0.07;0.895;1.24;0.001;-1.53;0.006;0.74;0.171;0.52;0.423;-0.77;0.033;-0.69;0.052;0.06;0.899;-0.17;0.802;1.19;0;-2.41;0.094;1.26;0.026;1.1;0.061;0.12;0.788;-0.05;0.85;0.48;0.191
2;02. Apr;C_Sp_int1;0.53;0.349;0.12;0.748;-1.02;0.165;0.23;0.54;0.41;0.501;0.88;0.054;-0.14;0.729;0.57;0.232;1.58;0.052;0.3;0.367;-1.6;0.285;0.16;0.741;0.23;0.685;0.38;0.486;-0.25;0.429;0.32;0.374
3;02. Apr;D_Sp_int2;-0.7;0.139;-0.42;0.234;-0.99;0.09;0.19;0.696;0.17;0.782;0.47;0.191;0.85;0.017;-0.04;0.935;-0.07;0.908;0.31;0.268;-1.57;0.221;0.94;0.09;0.25;0.663;0.51;0.262;0.98;0;0.27;0.451
4;02. Apr;E_Sp_old;-1.03;0.047;-0.55;0.146;-2.23;0.034;-0.39;0.385;-0.53;0.476;1.07;0.001;0.89;0.015;-1.01;0.043;-1.29;0.044;-0.84;0.002;-4.45;0.002;-0.88;0.052;-0.81;0.228;0.03;0.946;-0.12;0.633;-1.23;0.001
;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;;;;;;;;;;;;;;;;
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;;;;;;;;;;;;;;;;
2;(Intercept);1;29.68;0;3.71;0.054;57.53;0;79.3;0;9.38;0.002;3.49;0.062;0.05;0.827;6.93;0.008;;;;;;;;;;;;;;;;
