"7,""R2c"",NA,NA,""0.69"",NA,""0.58"",NA,""0.18"",NA,""0.3"",NA,""0.65"",NA,""0.69"",NA,""0.56"",NA,""0.95"",NA,""0.71"",NA,""0.55"",NA,""0.32"",NA,""0.4"",NA,""0.38"",NA,""0.39"",NA,""0.31"",NA,""0.35"",NA,""0.34"""
"8,""X"",""X"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"""
"","Env","DF","BI","BI","SI","SI","EI","EI","CI","CI","MI","MI","PPI","PPI","MI25","MI25","sigmaMI","sigmaMI","sigmaMI25","sigmaMI25","PPI.1","PPI.1","SR","SR","rarefy","rarefy","H","H","D","D","J","J","H1","H1","N","N"
"1","X","X","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value"
"2","age_class","4","0.39","0.812","0.47","0.754","0.12","0.972","0.55","0.702","0.95","0.466","1.75","0.205","0.46","0.763","2.69","0.078","1.87","0.176","1.34","0.312","1.14","0.383","0.28","0.888","1.99","0.156","2.27","0.118","2.57","0.088","1.87","0.176","8.77","0.001"
"3","R2m",NA,NA,"0.08",NA,"0.1",NA,"0.03",NA,"0.11",NA,"0.18",NA,"0.3",NA,"0.1",NA,"0.39",NA,"0.31",NA,"0.25",NA,"0.21",NA,"0.06",NA,"0.32",NA,"0.35",NA,"0.38",NA,"0.31",NA,"0.69"
"4","R2c",NA,NA,"0.08",NA,"0.1",NA,"0.03",NA,"0.11",NA,"0.18",NA,"0.3",NA,"0.1",NA,"0.39",NA,"0.31",NA,"0.25",NA,"0.21",NA,"0.06",NA,"0.32",NA,"0.35",NA,"0.38",NA,"0.31",NA,"0.69"
"5","X","X","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal"
"","Env","DF","BI","BI","SI","SI","EI","EI","CI","CI","MI","MI","PPI","PPI","MI25","MI25","sigmaMI","sigmaMI","sigmaMI25","sigmaMI25","PPI.1","PPI.1","SR","SR","rarefy","rarefy","H","H","D","D","J","J","H1","H1","N","N"
"1","X","X","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value","F","p-value"
"2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","R2m",NA,NA,"0.08",NA,"0.1",NA,"0.03",NA,"0.11",NA,"0.18",NA,"0.3",NA,"0.1",NA,"0.39",NA,"0.31",NA,"0.25",NA,"0.21",NA,"0.06",NA,"0.32",NA,"0.35",NA,"0.38",NA,"0.31",NA,"0.69"
"4","R2c",NA,NA,"0.08",NA,"0.1",NA,"0.03",NA,"0.11",NA,"0.18",NA,"0.3",NA,"0.1",NA,"0.39",NA,"0.31",NA,"0.25",NA,"0.21",NA,"0.06",NA,"0.32",NA,"0.35",NA,"0.38",NA,"0.31",NA,"0.69"
