ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	pH	mc	c	n	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
28	13	Dornburg	DO_Mais	11.656488	51.003322	906	Mollic_Leptosol	BB-RR	uuT	Maize	A_Cm	0	2012	2	autumn	2012	18.09.2012	6.34	14.70	1.22	0.14	8.91	7.40	60.50	32.10	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130	75x20	1	2	3	6	2
29	14	Niederdorla	ND_Mais	10.438575	51.17563	70603	Stagnic_Luvisol	SS-LL	tU	Maize	A_Cm	0	2012	2	autumn	2012	15.10.2012	6.00	24.19	1.31	0.13	9.75	7.60	72.00	20.40	9.92	9.71	86.56	11.24	1.40	2705.47	7.14	7.13	96.00	8.88	0.90	864	75x20	1	3	3	6	3
30	15	Ronneberg	RO_Mais	9.608546	52.294104	35300	Haplic_Luvisol	LLn	ttU	Maize	A_Cm	0	2012	2	autumn	2012	23.10.2012	5.82	20.19	1.38	0.14	9.55	10.20	75.30	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383	75x20	1	4	3	6	3
31	1	Dornburg	DO_2004	11.658097	51.003187	219	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	9	2004	4	autumn	2013	08.10.2013	5.71	16.41	1.04	0.12	9.00	10.80	55.20	34.00	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849	50x50	0	3	1	1	1
32	2	Hessberg	HE_2004	10.78191	50.414685	285	Terra_Fusca	CFn	uT	Silphie	E_Sp_old	9	2004	4	autumn	2013	16.10.2013	5.11	32.52	2.47	0.26	9.64	12.30	50.40	37.30	8.98	10.15	80.53	11.61	2.40	2234.80	7.19	8.28	90.38	9.47	0.10	679	50x50	0	3	2	2	2
33	3	Dornburg	DO_2005	11.656257	51.003652	921	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	8	2005	4	autumn	2013	08.10.2013	7.00	17.20	1.38	0.12	11.78	6.10	63.00	30.90	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849	50x50	0	3	1	2	2
34	4	Dornburg	DO_2007	11.657904	51.000938	2319	Mollic_Leptosol	BB-RR	uuT	Silphie	D_Sp_int2	6	2007	4	autumn	2013	09.10.2013	7.20	16.16	1.28	0.13	9.89	7.20	63.20	29.60	10.98	13.31	73.38	14.97	0.72	2391.67	12.93	13.70	70.58	14.13	0.80	2096	50x50	0	3	1	2	2
35	5	Erfurt	EF_2007	11.005805	50.98336	172	Chernozem	TTn	uuT	Silphie	D_Sp_int2	6	2007	4	autumn	2013	15.10.2013	6.73	27.95	2.05	0.15	13.27	12.70	60.20	27.10	10.46	9.66	83.28	12.06	1.12	2131.60	10.98	9.76	85.33	9.68	6.40	1289	90x50	0	3	1	2	2
36	6	Pahren	PA_2007	11.89876	50.653093	6676	stagnic_Luvisol	SSn	ttU	Silphie	D_Sp_int2	6	2007	4	autumn	2013	07.10.2013	5.87	15.82	2.53	0.27	9.22	28.90	51.10	20.00	10.34	11.59	78.70	12.51	2.49	2643.87	11.63	12.10	88.58	11.13	0.00	1075	50x50	0	4	3	4	2
37	7	Dornburg	DO_2009	11.657303	51.000746	1609	Mollic_Leptosol	BB-RR	uuT	Silphie	C_Sp_int1	4	2009	4	autumn	2013	09.10.2013	6.55	15.52	1.11	0.12	9.20	10.10	62.40	27.50	10.98	13.31	73.38	14.97	0.72	2391.67	12.93	13.70	70.58	14.13	0.80	2096	50x50	0	4	1	3	2
38	8	Erfurt	EF_2009	11.004722	50.981567	2818	Chernozem	TTn	uuT	Silphie	C_Sp_int1	4	2009	4	autumn	2013	16.10.2013	7.21	27.78	2.41	0.17	14.34	10.20	62.10	27.70	8.98	10.15	80.53	11.61	2.40	2234.80	7.19	8.28	90.38	9.47	0.10	679	90x50	0	3	1	3	2
39	9	Poppenburg	PO_2009	9.780602	52.145969	120	Haplic_Luvisol	LLn	tU	Silphie	C_Sp_int1	4	2009	4	autumn	2013	01.10.2013	6.00	10.55	1.11	0.11	9.72	16.90	68.60	14.50	12.51	12.91	84.33	14.69	1.41	2695.27	6.28	6.37	77.22	10.49	0.00	3834	50x50	0	3	2	2	2
40	10	Erfurt	EF_2011	10.999336	50.980493	9247	Chernozem	TTn	uuT	Silphie	B_Sp_young	2	2011	4	autumn	2013	14.10.2013	7.13	23.62	2.40	0.12	19.78	12.70	58.00	29.30	10.59	9.82	83.10	12.27	0.91	2176.20	7.01	6.19	91.38	8.07	0.00	1298	90x50	0	3	1	3	2
41	11	Niederdorla	ND_2011	10.399994	51.136251	9278	Stagnic_Luvisol	SS-LL	tU	Silphie	B_Sp_young	2	2011	4	autumn	2013	14.10.2013	6.65	29.69	2.54	0.27	9.50	10.10	69.60	20.30	10.59	9.82	83.10	12.27	0.91	2176.20	7.01	6.19	91.38	8.07	0.00	1298	50x50	0	2	2	3	3
42	12	Ronneberg	RO_2011	9.609485	52.295013	1197	Haplic_Luvisol	LLn	ttU	Silphie	B_Sp_young	2	2011	4	autumn	2013	30.11.2013	5.27	15.25	1.46	0.14	10.61	10.40	75.10	14.50	5.65	7.80	87.52	8.15	1.95	818.47	6.58	10.37	76.06	10.86	0.00	3965	60x60	0	4	4	4	3
43	16	Dornburg	DO_MaisII	11.658923	51.002741	1792	Mollic_Leptosol	BB-RR	uT	Maize	A_Cm	0	2013	4	autumn	2013	08.10.2013	6.94	15.95	1.07	0.12	8.92	5.10	61.10	33.80	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849	75x20	1	3	3	6	3
44	17	Pahren	PA_Mais	11.910338	50.644899	52601	stagnic_Luvisol	SSn	sL	Maize	A_Cm	0	2013	4	autumn	2013	07.10.2013	5.70	17.26	3.40	0.35	9.66	28.90	49.60	21.50	10.34	11.59	78.70	12.51	2.49	2643.87	11.63	12.10	88.58	11.13	0.00	1075	75x24	1	4	3	6	3
45	18	Ronneberg	RO_MaisII	9.602275	52.294314	14858	Haplic_Luvisol	LLn	ttU	Maize	A_Cm	0	2013	4	autumn	2013	30.11.2013	6.36	16.63	1.85	0.18	10.45	9.40	72.10	18.50	5.65	7.80	87.52	8.15	1.95	818.47	6.58	10.37	76.06	10.86	0.00	3965	75x20	1	4	3	6	3
